Song Titles,Artist,Year
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",2018
A Holly Jolly Christmas,Burl Ives,2018
Silence,Marshmello Featuring Khalid,2018
Believer,Imagine Dragons,2018
Sky Walker,Miguel Featuring Travis Scott,2018
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018
Last Christmas,Wham!,2018
Attention,Charlie Puth,2018
Ric Flair Drip,Offset & Metro Boomin,2018
Lemon,N*E*R*D & Rihanna,2018
Unforgettable,French Montana Featuring Swae Lee,2018
That's What I Like,Bruno Mars,2018
Feliz Navidad,Jose Feliciano,2018
Jingle Bell Rock,Bobby Helms,2018
Roll In Peace,Kodak Black Featuring XXXTENTACION,2018
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018
Kooda,6ix9ine,2018
Rubbin Off The Paint,YBN Nahmir,2018
Like I Loved You,Brett Young,2018
Lights Down Low,MAX Featuring gnash,2018
Candy Paint,Post Malone,2018
...Ready For It?,Taylor Swift,2018
Greatest Love Story,LANCO,2018
Good Old Days,Macklemore Featuring Kesha,2018
What About Us,P!nk,2018
Marry Me,Thomas Rhett,2018
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018
I'll Name The Dogs,Blake Shelton,2018
Yours,Russell Dickerson,2018
Tennessee Rain,Addison Agen,2018
The Race,Tay-K,2018
Wish I Didn't Love You,Chloe Kohanski,2018
Round Here Buzz,Eric Church,2018
My Dawg,Lil Baby,2018
Light It Up,Luke Bryan,2018
Tell Me You Love Me,Demi Lovato,2018
Pick It Up,Famous Dex Featuring A$AP Rocky,2018
Echame La Culpa,Luis Fonsi & Demi Lovato,2018
Look What You Made Me Do,Taylor Swift,2018
Betrayed,Lil Xan,2018
Losing Sleep,Chris Young,2018
MIC Drop,BTS Featuring Desiigner,2018
No Smoke,YoungBoy Never Broke Again,2018
I Could Use A Love Song,Maren Morris,2018
Ice Tray,Quavo & Lil Yachty,2018
You Broke Up With Me,Walker Hayes,2018
I Pray,Red Marlow,2018
Wanted You,NAV Featuring Lil Uzi Vert,2018
Mayores,Becky G Featuring Bad Bunny,2018
Walk On Water,Eminem Featuring Beyonce,2018
Dusk Till Dawn,Zayn Featuring Sia,2018
Written In The Sand,Old Dominion,2018
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018
F**k Love,XXXTENTACION Featuring Trippie Redd,2018
Believe,Eminem,2018
Juice,Yo Gotti,2018
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018
When We,Tank,2018
Five More Minutes,Scotty McCreery,2018
Too Much To Ask,Niall Horan,2018
Never Be The Same,Camila Cabello,2018
All On Me,Devin Dawson,2018
Legends,Kelsea Ballerini,2018
Bartier Cardi,Cardi B Featuring 21 Savage,2018
Finesse,Bruno Mars & Cardi B,2018
La Modelo,Ozuna x Cardi B,2018
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2018
One Foot,WALK THE MOON,2018
Heaven,Kane Brown,2018
This Is Me,Keala Settle & The Greatest Showman Ensemble,2018
Rewrite The Stars,Zac Efron & Zendaya,2018
Never Enough,Loren Allred,2018
Stir Fry,Migos,2018
Broken Halos,Chris Stapleton,2018
Corazon,Maluma X Nego do Borel,2018
Female,Keith Urban,2018
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018
Filthy,Justin Timberlake,2018
All The Stars,Kendrick Lamar & SZA,2018
For You (Fifty Shades Freed),Liam Payne & Rita Ora,2018
Nowadays,Lil Skies Featuring Landon Cube,2018
I Miss You,Clean Bandit Featuring Julia Michaels,2018
Beautiful Trauma,P!nk,2018
Red Roses,Lil Skies Featuring Landon Cube,2018
The Champion,Carrie Underwood Featuring Ludacris,2018
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018
Outside Today,YoungBoy Never Broke Again,2018
My My My!,Troye Sivan,2018
Tequila,Dan + Shay,2018
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018
IDGAF,Dua Lipa,2018
El Bano,Enrique Iglesias Featuring Bad Bunny,2018
God's Plan,Drake,2018
Diplomatic Immunity,Drake,2018
Mine,Bazzi,2018
Sick Boy,The Chainsmokers,2018
Supplies,Justin Timberlake,2018
No Name,NF,2018
Wait,Maroon 5,2018
Rock,Plies,2018
Say Something,Justin Timberlake Featuring Chris Stapleton,2018
Walk It Talk It,Migos Featuring Drake,2018
The Middle,"Zedd, Maren Morris & Grey",2018
You Make It Easy,Jason Aldean,2018
Narcos,Migos,2018
BBO (Bad Bitches Only),Migos Featuring 21 Savage,2018
Notice Me,Migos Featuring Post Malone,2018
Supastars,Migos,2018
White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",2018
Gang Gang,Migos,2018
New Freezer,Rich The Kid Featuring Kendrick Lamar,2018
Higher We Go (Intro),Migos,2018
Auto Pilot,Migos,2018
Emoji A Chain,Migos,2018
El Farsante,Ozuna & Romeo Santos,2018
Most People Are Good,Luke Bryan,2018
CC,Migos Featuring Gucci Mane,2018
Pray For Me,The Weeknd & Kendrick Lamar,2018
Man Of The Woods,Justin Timberlake,2018
Dura,Daddy Yankee,2018
Whatever It Takes,Imagine Dragons,2018
Hardaway,Derez De'Shon,2018
At The Club,Jacquees X DeJ Loaf,2018
The Long Way,Brett Eldredge,2018
Singles You Up,Jordan Davis,2018
Criminal,Natti Natasha x Ozuna,2018
A Girl Like You,Easton Corbin,2018
Look Alive,BlocBoy JB Featuring Drake,2018
X,"ScHoolboy Q, 2 Chainz & Saudi",2018
Plug Walk,Rich The Kid,2018
The Ways,Khalid & Swae Lee,2018
Paramedic!,SOB X RBE,2018
Big Shot,Kendrick Lamar & Travis Scott,2018
Friends,Marshmello & Anne-Marie,2018
Black Panther,Kendrick Lamar,2018
I Like Me Better,Lauv,2018
Love Lies,Khalid & Normani,2018
Get You,Daniel Caesar Featuring Kali Uchis,2018
Psycho,Post Malone Featuring Ty Dolla $ign,2018
44 More,Logic,2018
Billy,6ix9ine,2018
Want You Back,5 Seconds Of Summer,2018
RONDO,6ix9ine Featuring Tory Lanez & Young Thug,2018
Booty,Blac Youngsta,2018
She's With Me,High Valley,2018
Break Up In The End,Cole Swindell,2018
Make Me Feel,Janelle Monae,2018
Sad!,XXXTENTACION,2018
Top Off,"DJ Khaled Featuring JAY Z, Future & B",2018
Everyday,Logic & Marshmello,2018
No Excuses,Meghan Trainor,2018
Changes,XXXTENTACION,2018
Powerglide,Rae Sremmurd & Juicy J,2018
X,Nicky Jam x J Balvin,2018
Stranger Things,Joyner Lucas & Chris Brown,2018
Tempo,Chris Brown,2018
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018
I Lived It,Blake Shelton,2018
Broken Clocks,SZA,2018
Zombie,Bad Wolves,2018
Indica Badu,Logic Featuring Wiz Khalifa,2018
Contra,Logic,2018
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,2018
Overnight,Logic,2018
66,Lil Yachty Featuring Trippie Redd,2018
Midnight,Logic,2018
Wassup,Logic Featuring Big Sean,2018
Delicate,Taylor Swift,2018
Yuck,Logic,2018
Boom!,Lil Yachty Featuring Ugly God,2018
BoomTrap Protocol,Logic,2018
Warm It Up,Logic Featuring Young Sinatra,2018
Freaky Friday,Lil Dicky Featuring Chris Brown,2018
Moonlight,XXXTENTACION,2018
Found / Tonight,Lin-Manuel Miranda & Ben Platt,2018
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018
In My Blood,Shawn Mendes,2018
Numb,XXXTENTACION,2018
Infinity (888),XXXTENTACION Featuring Joey Bada$$,2018
One Number Away,Luke Combs,2018
Sit Next To Me,Foster The People,2018
Going Down!,XXXTENTACION,2018
Everybody Hates Me,The Chainsmokers,2018
Say Amen (Saturday Night),Panic! At The Disco,2018
Lost In Japan,Shawn Mendes X Zedd,2018
Japan,Famous Dex,2018
Up Down,Morgan Wallen Featuring Florida Georgia Line,2018
For The First Time,Darius Rucker,2018
No Roots,Alice Merton,2018
Call Out My Name,The Weeknd,2018
Be Careful,Cardi B,2018
Try Me,The Weeknd,2018
Wasted Times,The Weeknd,2018
I Was Never There,The Weeknd Featuring Gesaffelstein,2018
Hurt You,The Weeknd Featuring Gesaffelstein,2018
Medicine,Queen Naija,2018
Privilege,The Weeknd,2018
Boo'd Up,Ella Mai,2018
OKRA,"Tyler, The Creator",2018
Take Back Home Girl,Chris Lane Featuring Tori Kelly,2018
"Woman, Amen",Dierks Bentley,2018
Proud,2 Chainz Featuring YG & Offset,2018
Focus,H.E.R.,2018
Nice For What,Drake,2018
I Like It,"Cardi B, Bad Bunny & J Balvin",2018
Drip,Cardi B Featuring Migos,2018
I Do,Cardi B Featuring SZA,2018
Ring,Cardi B Featuring Kehlani,2018
Get Up 10,Cardi B,2018
Best Life,Cardi B Featuring Chance The Rapper,2018
Bickenhead,Cardi B,2018
Thru Your Phone,Cardi B,2018
She Bad,Cardi B & YG,2018
Money Bag,Cardi B,2018
Diamond Teeth Samurai,YoungBoy Never Broke Again,2018
One Kiss,Calvin Harris & Dua Lipa,2018
A$AP Forever,A$AP Rocky Featuring Moby,2018
Barbie Tingz,Nicki Minaj,2018
Get Along,Kenny Chesney,2018
Chun-Li,Nicki Minaj,2018
Alone,Halsey Featuring Big Sean & Stefflon Don,2018
Esskeetit,Lil Pump,2018
Cry Pretty,Carrie Underwood,2018
Let Me,Zayn,2018
Guatemala,Swae Lee Featuring Slim Jxmmi,2018
Anybody,Young Thug Featuring Nicki Minaj,2018
Gotti,6ix9ine,2018
No Tears Left To Cry,Ariana Grande,2018
ATM,J. Cole,2018
Kevin's Heart,J. Cole,2018
KOD,J. Cole,2018
Photograph,J. Cole,2018
Motiv8,J. Cole,2018
1985 (Intro To The Fall Off),J. Cole,2018
The Cut Off,J. Cole Featuring kiLL edward,2018
Brackets,J. Cole,2018
Wake Me Up!,Avicii,2018
Window Pain (Outro),J. Cole,2018
Friends,J. Cole Featuring kiLL edward,2018
Once An Addict (Interlude),J. Cole,2018
Intro,J. Cole,2018
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018
Babe,Sugarland Featuring Taylor Swift,2018
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,2018
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018
Close,Rae Sremmurd & Travis Scott,2018
Better Now,Post Malone,2018
Paranoid,Post Malone,2018
Rich & Sad,Post Malone,2018
Spoil My Night,Post Malone Featuring Swae Lee,2018
Ball For Me,Post Malone Featuring Nicki Minaj,2018
Stay,Post Malone,2018
Same Bitches,Post Malone Featuring G-Eazy & YG,2018
Zack And Codeine,Post Malone,2018
Over Now,Post Malone,2018
Takin' Shots,Post Malone,2018
92 Explorer,Post Malone,2018
Otherside,Post Malone,2018
Blame It On Me,Post Malone,2018
Sugar Wraith,Post Malone,2018
Famous,Mason Ramsey,2018
Jonestown (Interlude),Post Malone,2018
Overdose,YoungBoy Never Broke Again,2018
Ye vs The People,Kanye West Featuring T.I.,2018
This Is America,Childish Gambino,2018
Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,2018
Beautiful Crazy,Luke Combs,2018
Youth,Shawn Mendes Featuring Khalid,2018
Done For Me,Charlie Puth Featuring Kehlani,2018
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,2018
Mercy,Brett Young,2018
Preach,YoungBoy Never Broke Again,2018
Shoota,Playboi Carti Featuring Lil Uzi Vert,2018
Yes Indeed,Lil Baby & Drake,2018
Back To You,Selena Gomez,2018
Lucid Dreams,Juice WRLD,2018
Me Niego,Reik Featuring Ozuna & Wisin,2018
Lust,Lil Skies,2018
All Girls Are The Same,Juice WRLD,2018
Fake Love,BTS,2018
Change Lanes,Kevin Gates,2018
Like That,Kris Wu,2018
Southside,Lil Baby,2018
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,2018
Let It Sing,Kevin Gates,2018
Sangria Wine,Pharrell Williams x Camila Cabello,2018
Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",2018
Champion,NAV Featuring Travis Scott,2018
Downtown's Dead,Sam Hunt,2018
Don't Go Breaking My Heart,Backstreet Boys,2018
I'm Upset,Drake,2018
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018
TATI,6ix9ine Featuring DJ SPINKING,2018
Infrared,Pusha T,2018
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018
If You Know You Know,Pusha T,2018
What Would Meek Do?,Pusha T Featuring Kanye West,2018
Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B,2018
Taste,Tyga Featuring Offset,2018
Lovely,Billie Eilish & Khalid,2018
I Was Jack (You Were Diane),Jake Owen,2018
Girls Like You,Maroon 5 Featuring Cardi B,2018
High Hopes,Panic! At The Disco,2018
The Games We Play,Pusha T,2018
Yikes,Kanye West,2018
All Mine,Kanye West,2018
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,2018
Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,2018
Violent Crimes,Kanye West,2018
I Thought About Killing You,Kanye West,2018
No Mistakes,Kanye West,2018
Simple,Florida Georgia Line,2018
Must've Never Met You,Luke Combs,2018
Humility,Gorillaz Featuring George Benson,2018
Africa,Weezer,2018
Youngblood,5 Seconds Of Summer,2018
Sin Pijama,Becky G + Natti Natasha,2018
Reborn,KIDS SEE GHOSTS,2018
4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,2018
Feel The Love,KIDS SEE GHOSTS,2018
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,2018
Fire,KIDS SEE GHOSTS,2018
Cudi Montage,KIDS SEE GHOSTS,2018
KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018
Lose It,Kane Brown,2018
Rich Sex,Nicki Minaj Featuring Lil Wayne,2018
I Know You,Lil Skies Featuring Yung Pinch,2018
Apes**t,The Carters,2018
Jocelyn Flores,XXXTENTACION,2018
Everybody Dies In Their Nightmares,XXXTENTACION,2018
Bed,Nicki Minaj Featuring Ariana Grande,2018
Bigger > You,"2 Chainz, Drake & Quavo",2018
DDU-DU DDU-DU,BLACKPINK,2018
Born To Be Yours,Kygo & Imagine Dragons,2018
Boss,The Carters,2018
Ocean,Martin Garrix Featuring Khalid,2018
Hope,XXXTENTACION,2018
Summer,The Carters,2018
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018
Nice,The Carters,2018
Cop Shot The Kid,Nas Featuring Kanye West,2018
Friends,The Carters,2018
Sober,Demi Lovato,2018
Legends,Juice WRLD,2018
Coming Home,Keith Urban Featuring Julia Michaels,2018
Life Changes,Thomas Rhett,2018
The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018
Solo,Clean Bandit Featuring Demi Lovato,2018
Nonstop,Drake,2018
In My Feelings,Drake,2018
Emotionless,Drake,2018
Don't Matter To Me,Drake Featuring Michael Jackson,2018
Mob Ties,Drake,2018
Elevate,Drake,2018
Survival,Drake,2018
Can't Take A Joke,Drake,2018
Talk Up,Drake Featuring JAY-Z,2018
8 Out Of 10,Drake,2018
Sandra's Rose,Drake,2018
Summer Games,Drake,2018
Blue Tint,Drake,2018
Jaded,Drake,2018
Is There More,Drake,2018
That's How You Feel,Drake,2018
Peak,Drake,2018
After Dark,Drake Featuring Static Major & Ty Dolla $ign,2018
Finesse,Drake,2018
Ratchet Happy Birthday,Drake,2018
Final Fantasy,Drake,2018
14-Mar,Drake,2018
Karma,Queen Naija,2018
Kiss Somebody,Morgan Evans,2018
"Sunrise, Sunburn, Sunset",Luke Bryan,2018
Hotel Key,Old Dominion,2018
Growing Pains,Alessia Cara,2018
Wifi Lit,Future,2018
Jumpsuit,Twenty One Pilots,2018
31 Days,Future,2018
Cuddle My Wrist,Future,2018
Millidelphia,Meek Mill Featuring Swizz Beatz,2018
Racks Blue,Future,2018
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018
Drug Addicts,Lil Pump,2018
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018
Kream,Iggy Azalea Feauring Tyga,2018
God Is A Woman,Ariana Grande,2018
Summertime Magic,Childish Gambino,2018
You Say,Lauren Daigle,2018
Eastside,"benny blanco, Halsey & Khalid",2018
Wasted,Juice WRLD Featuring Lil Uzi Vert,2018
Desperate Man,Eric Church,2018
Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,2018
Fr Fr,Wiz Khalifa Featuring Lil Skies,2018
Nico And The Niners,Twenty One Pilots,2018
Broken,lovelytheband,2018
Hooked,Dylan Scott,2018
Ocean,TK Kravitz Featuring Jacqueez,2018
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018
I'm A Mess,Bebe Rexha,2018
Remind Me To Forget,Kygo Featuring Miguel,2018
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018
Natural,Imagine Dragons,2018
I Might Need Security,Chance The Rapper,2018
Level Up,Ciara,2018
Best Part,Daniel Caesar Featuring H.E.R.,2018
Nevermind,Dennis Lloyd,2018
You Should See Me In A Crown,Billie Eilish,2018
Lie,NF,2018
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018
One Day,Logic Featuring Ryan Tedder,2018
Side Effects,The Chainsmokers Featuring Emily Warren,2018
That's On Me,Yella Beezy,2018
Handgun,YG Featuring A$AP Rocky,2018
Drunk Me,Mitchell Tenpenny,2018
Sicko Mode,Travis Scott,2018
Stargazing,Travis Scott,2018
Carousel,Travis Scott,2018
Yosemite,Travis Scott,2018
R.I.P Screw,Travis Scott,2018
Stop Trying To Be God,Travis Scott,2018
Wake Up,Travis Scott,2018
No Bystanders,Travis Scott,2018
5% Tint,Travis Scott,2018
Can't Say,Travis Scott,2018
NC-17,Travis Scott,2018
Who? What!,Travis Scott,2018
Skeletons,Travis Scott,2018
Astrothunder,Travis Scott,2018
Butterfly Effect,Travis Scott,2018
Houstonfornication,Travis Scott,2018
Beautiful,Bazzi Featuring Camila Cabello,2018
Coffee Bean,Travis Scott,2018
Could've Been,H.E.R. Featuring Bryson Tiller,2018
Trip,Ella Mai,2018
Lean Wit Me,Juice WRLD,2018
Barbie Dreams,Nicki Minaj,2018
Taking A Walk,Trippie Redd,2018
Majesty,Nicki Minaj Featuring Eminem & Labrinth,2018
Ganja Burns,Nicki Minaj,2018
W O R K I N  M E,Quavo,2018
Album Of The Year (Freestyle),J. Cole,2018
Have It All,Jason Mraz,2018
Drew Barrymore,Bryce Vine,2018
She Got The Best Of Me,Luke Combs,2018
Thought I Knew You,Nicki Minaj Featuring The Weeknd,2018
Breathin,Ariana Grande,2018
Sweetener,Ariana Grande,2018
Everytime,Ariana Grande,2018
Happier,Marshmello & Bastille,2018
Promises,Calvin Harris & Sam Smith,2018
R.E.M,Ariana Grande,2018
Blue Tacoma,Russell Dickerson,2018
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,2018
Goodnight N Go,Ariana Grande,2018
Made For Now,Janet & Daddy Yankee,2018
Pete Davidson,Ariana Grande,2018
IDOL,BTS Featuring Nicki Minaj,2018
I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2018
Unica,Ozuna,2018
Mo Bamba,Sheck Wes,2018
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018
Drunk Girl,Chris Janson,2018
The Way I Am,Charlie Puth,2018
Happy Now,Zedd & Elley Duhe,2018
Lucky You,Eminem Featuring Joyner Lucas,2018
The Ringer,Eminem,2018
Fall,Eminem,2018
Kamikaze,Eminem,2018
Greatest,Eminem,2018
Not Alike,Eminem Featuring Royce Da 5'9,2018
BEBE,6ix9ine Featuring Anuel AA,2018
Normal,Eminem,2018
Stepping Stone,Eminem,2018
Venom,Eminem,2018
Feels Like Summer,Childish Gambino,2018
Nice Guy,Eminem & Jessie Reyez,2018
Good Guy,Eminem Featuring Jessie Reyez,2018
Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",2018
Hangin' On,Chris Young,2018
I Love It,Kanye West & Lil Pump,2018
Rap Devil,Machine Gun Kelly,2018
Self Care,Mac Miller,2018
Hurt Feelings,Mac Miller,2018
Come Back To Earth,Mac Miller,2018
Vaina Loca,Ozuna x Manuel Turizo,2018
Speechless,Dan + Shay,2018
Electricity,Silk City x Dua Lipa,2018
Killshot,Eminem,2018
Drip Too Hard,Lil Baby & Gunna,2018
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018
New Patek,Lil Uzi Vert,2018
Better,Khalid,2018
Falling Down,Lil Peep & XXXTENTACION,2018
Pretty Little Fears,6LACK Featuring J. Cole,2018
Leave Me Alone,Flipp Dinero,2018
Best Shot,Jimmie Allen,2018
Noticed,Lil Mosey,2018
No Stylist,French Montana Featuring Drake,2018
Head Above Water,Avril Lavigne,2018
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2018
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018
Rich,Maren Morris,2018
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018
Don't Cry,Lil Wayne Featuring XXXTENTACION,2018
Uproar,Lil Wayne,2018
Let It Fly,Lil Wayne Featuring Travis Scott,2018
Dedicate,Lil Wayne,2018
Can't Be Broken,Lil Wayne,2018
What About Me,Lil Wayne Featuring Sosamann,2018
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,2018
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018
Shallow,Lady Gaga & Bradley Cooper,2018
Famous,Lil Wayne Featuring Reginae Carter,2018
Dope N****z,Lil Wayne Featuring Snoop Dogg,2018
Open Letter,Lil Wayne,2018
"If I'm Lyin, I'm Flyin",Kodak Black,2018
Problems,Lil Wayne,2018
Hittas,Lil Wayne,2018
Open Safe,Lil Wayne,2018
Took His Time,Lil Wayne,2018
Mess,Lil Wayne,2018
Let It All Work Out,Lil Wayne,2018
Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,2018
Used 2,Lil Wayne,2018
Demon,Lil Wayne,2018
Perfect Strangers,Lil Wayne,2018
Dope New Gospel,Lil Wayne Featuring Nivea,2018
Never Recover,Lil Baby & Gunna Featuring Drake,2018
Without Me,Halsey,2018
STOOPID,6ix9ine Featuring Bobby Shmurda,2018
Close Friends,Lil Baby,2018
I'll Never Love Again,Lady Gaga,2018
Always Remember Us This Way,Lady Gaga,2018
Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,2018
Business Is Business,Lil Baby & Gunna,2018
Is That Alright?,Lady Gaga,2018
Belly,Lil Baby & Gunna,2018
My Blood,Twenty One Pilots,2018
Maybe It's Time,Bradley Cooper,2018
Deep End,Lil Baby,2018
I Am,Lil Baby & Gunna,2018
ZEZE,Kodak Black Featuring Travis Scott & Offset,2018
MIA,Bad Bunny Featuring Drake,2018
Flip The Switch,Quavo Featuring Drake,2018
Pass Out,Quavo Featuring 21 Savage,2018
Biggest Alley Oop,Quavo,2018
Rerun,Quavo Featuring Travis Scott,2018
Huncho Dreams,Quavo,2018
Lose It,Quavo Featuring Lil Baby,2018
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018
Fine China,Future & Juice WRLD,2018
Money,Cardi B,2018
When The Party's Over,Billie Eilish,2018
Jet Lag,Future & Juice WRLD Featuring Young Scooter,2018
Astronauts,Future & Juice WRLD,2018
Saturday Nights,Khalid & Kane Brown,2018
Suncity,Khalid Featuring Empress Of,2018
Vertigo,Khalid,2018
Yacht Club,Lil Yachty Featuring Juice WRLD,2018
Make It Back,Juice WRLD,2018
Kiss And Make Up,Dua Lipa & BLACKPINK,2018
Get Dripped,Lil Yachty Featuring Playboi Carti,2018
Burning Man,Dierks Bentley Featuring Brothers Osborne,2018
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018
Thriller,Michael Jackson,2018
Last Memory,TakeOff,2018
Talk To Me,Tory Lanez & Rich The Kid,2018
Topanga,Trippie Redd,2018
Dip,Tyga & Nicki Minaj,2018
Waste It On Me,Steve Aoki Featuring BTS,2018
A Million Dreams,P!nk,2018
Be Alright,Dean Lewis,2018
Kamikaze,Lil Mosey,2018
"Thank U, Next",Ariana Grande,2018
Bohemian Rhapsody,Queen,2018
Don't Come Out The House,Metro Boomin Featuring 21 Savage,2018
10 Freaky Girls,Metro Boomin Featuring 21 Savage,2018
Space Cadet,Metro Boomin Featuring Gunna,2018
Overdue,Metro Boomin Featuring Travis Scott,2018
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,2018
No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",2018
Ella Quiere Beber,Anuel AA & Romeo Santos,2018
Consequences,Camila Cabello,2018
Casper,TakeOff,2018
Up To Something,Metro Boomin Featuring Travis Scott & Young Thug,2018
BAD!,XXXTENTACION,2018
Armed And Dangerous,Juice WRLD,2018
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,2018
Love Scars 3,Trippie Redd,2018
Bad Liar,Imagine Dragons,2018
Negative Energy,Trippie Redd Featuring Kodie Shane,2018
Sixteen,Thomas Rhett,2018
Good Girl,Dustin Lynch,2018
Last Shot,Kip Moore,2018
Millionaire,Chris Stapleton,2018
Toxic Waste,Trippie Redd,2018
Take One,Kodak Black,2018
Twerk,City Girls Featuring Cardi B,2018
Ocean Eyes,Billie Eilish,2018
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2018
Girl Like You,Jason Aldean,2018
Burn The House Down,AJR,2018
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018
KIKA,6ix9ine Featuring Tory Lanez,2018
TIC TOC,6ix9ine Featuring Lil Baby,2018
Come Out And Play,Billie Eilish,2018
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,2018
You,Jacquees,2018
Going Bad,Meek Mill Featuring Drake,2018
What's Free,Meek Mill Featuring Rick Ross & JAY-Z,2018
On Me,Meek Mill Featuring Cardi B,2018
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,2018
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,2018
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2018
Pure Cocaine,Lil Baby,2018
24/7,Meek Mill Featuring Ella Mai,2018
Intro,Meek Mill,2018
Respect The Game,Meek Mill,2018
Good Form,Nicki Minaj Featuring Lil Wayne,2018
Trauma,Meek Mill,2018
Time,Lil Baby Featuring Meek Mill,2018
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,2018
Calling My Spirit,Kodak Black,2018
Ready,Lil Baby Featuring Gunna,2018
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2018
Championships,Meek Mill,2018
Tic Tac Toe,Meek Mill Featuring Kodak Black,2018
Almost Slipped,Meek Mill,2018
Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",2018
Pay You Back,Meek Mill Featuring 21 Savage,2018
Foot Fungus,Ski Mask The Slump God,2018
Crush A Lot,Lil Baby,2018
Oodles O' Noodles Babies,Meek Mill,2018
Global,Lil Baby,2018
Word On The Street,Lil Baby,2018
whoa (mind in awe),XXXTENTACION,2018
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,2018
Sleigh Ride,The Ronettes,2018
Guardian Angel,XXXTENTACION,2018
I Don't Let Go,XXXTENTACION,2018
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,2018
